title,sponsor,status,date,url,pdf_url,source,category,summary,text_content,analysis_status,created_at
"The Local Content Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-11/THE%20LOCAL%20CONTENT%20BILL%2C2025.pdf,https://www.parliament.go.ke/sites/default/files/2025-11/THE%20LOCAL%20CONTENT%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Local Content Bill, 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-11/THE%20LOCAL%20CONTENT%20BILL%2C2025.pdf,pending,2026-02-11T03:02:23.762405
"The Tribunals Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-10/THE%20TRIBUNALS%20BILL%2C2025%20%282%29_0.pdf,https://www.parliament.go.ke/sites/default/files/2025-10/THE%20TRIBUNALS%20BILL%2C2025%20%282%29_0.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Tribunals Bill, 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-10/THE%20TRIBUNALS%20BILL%2C2025%20%282%29_0.pdf,pending,2026-02-11T03:02:23.762937
"The Public Participation Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-10/THE%20PUBLIC%20PARTICIPATION%20BILL%2C2025.pdf,https://www.parliament.go.ke/sites/default/files/2025-10/THE%20PUBLIC%20PARTICIPATION%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Participation Bill, 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-10/THE%20PUBLIC%20PARTICIPATION%20BILL%2C2025.pdf,pending,2026-02-11T03:02:23.763454
The Early Childhood Education (amendment) Bill (senate Bill 54 Of 2023) (compressed Copy),Senate,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Early%20Childhood%20Education%20%28Amendment%29%20Bill%20%28Senate%20Bill%2054%20of%202023%29%20%28Compressed%20Copy%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Early%20Childhood%20Education%20%28Amendment%29%20Bill%20%28Senate%20Bill%2054%20of%202023%29%20%28Compressed%20Copy%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Early Childhood Education (amendment) Bill (senate Bill 54 Of 2023) (compressed Copy). Source: National Assembly Bills.,Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-09/The%20Early%20Childhood%20Education%20%28Amendment%29%20Bill%20%28Senate%20Bill%2054%20of%202023%29%20%28Compressed%20Copy%29.pdf,pending,2026-02-11T03:02:23.763454
The Creative Economy Support Bill (senate Bill No. 30 Of 2024),Senate,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Creative%20Economy%20Support%20Bill%20%28Senate%20Bill%20No.%2030%20of%202024%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Creative%20Economy%20Support%20Bill%20%28Senate%20Bill%20No.%2030%20of%202024%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Creative Economy Support Bill (senate Bill No. 30 Of 2024). Source: National Assembly Bills.,Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-09/The%20Creative%20Economy%20Support%20Bill%20%28Senate%20Bill%20No.%2030%20of%202024%29.pdf,pending,2026-02-11T03:02:23.764011
The Local Content Bill (senate Bill No.50 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Local%20Content%20Bill%20%28Senate%20Bill%20No.50%20of%202023%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Local%20Content%20Bill%20%28Senate%20Bill%20No.50%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Local Content Bill (senate Bill No.50 Of 2023). Source: National Assembly Bills.,Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-09/The%20Local%20Content%20Bill%20%28Senate%20Bill%20No.50%20of%202023%29.pdf,pending,2026-02-11T03:02:23.764526
The Street Vendors (protection Of Livelihood) Bill (senate Bill No. 41 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Street%20Vendors%20%28Protection%20of%20Livelihood%29%20Bill%20%28Senate%20Bill%20No.%2041%20of%202023%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Street%20Vendors%20%28Protection%20of%20Livelihood%29%20Bill%20%28Senate%20Bill%20No.%2041%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Street Vendors (protection Of Livelihood) Bill (senate Bill No. 41 Of 2023). Source: National Assembly Bills.,Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-09/The%20Street%20Vendors%20%28Protection%20of%20Livelihood%29%20Bill%20%28Senate%20Bill%20No.%2041%20of%202023%29.pdf,pending,2026-02-11T03:02:23.764526
"The Supplementary Appropriation (no.2) Bill,2025",National Assembly,Appropriation,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/THE%20SUPPLEMENTARY%20APPROPRIATION%20%28NO.2%29%20BILL%2C2025.pdf,https://www.parliament.go.ke/sites/default/files/2025-09/THE%20SUPPLEMENTARY%20APPROPRIATION%20%28NO.2%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Supplementary Appropriation (no.2) Bill,2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-09/THE%20SUPPLEMENTARY%20APPROPRIATION%20%28NO.2%29%20BILL%2C2025.pdf,pending,2026-02-11T03:02:23.765045
"The Forest Conservation And Management(amendment) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Forest%20Conservation%20and%20Management%28Amendment%29%20Bill%2C%202025.pdf,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Forest%20Conservation%20and%20Management%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Forest Conservation And Management(amendment) Bill, 2025.. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-09/The%20Forest%20Conservation%20and%20Management%28Amendment%29%20Bill%2C%202025.pdf,pending,2026-02-11T03:02:23.765566
"The Public Service Superannuation Scheme(amendment) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Public%20Service%20Superannuation%20Scheme%28Amendment%29%20Bill%2C%202025.pdf,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Public%20Service%20Superannuation%20Scheme%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Service Superannuation Scheme(amendment) Bill, 2025.. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-09/The%20Public%20Service%20Superannuation%20Scheme%28Amendment%29%20Bill%2C%202025.pdf,pending,2026-02-11T03:02:23.766088
"The Quality Healthcare And Patient Safety Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Quality%20Healthcare%20and%20Patient%20Safety%20Bill%2C%202025r_0.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Quality%20Healthcare%20and%20Patient%20Safety%20Bill%2C%202025r_0.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Quality Healthcare And Patient Safety Bill, 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/The%20Quality%20Healthcare%20and%20Patient%20Safety%20Bill%2C%202025r_0.pdf,pending,2026-02-11T03:02:23.766632
"The Kenya Judiciary Academy Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Judiciary%20Academy%20Bill%2C%202025r.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Judiciary%20Academy%20Bill%2C%202025r.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Judiciary Academy Bill, 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Judiciary%20Academy%20Bill%2C%202025r.pdf,pending,2026-02-11T03:02:23.766632
"The Government Owned Enterprises Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Government%20Owned%20Enterprises%20Bill%2C%202025r.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Government%20Owned%20Enterprises%20Bill%2C%202025r.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Government Owned Enterprises Bill, 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/The%20Government%20Owned%20Enterprises%20Bill%2C%202025r.pdf,pending,2026-02-11T03:02:23.767164
"The National Police Service (amendment) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20National%20Police%20Service%20%28Amendment%29%20Bill%2C%202025.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/The%20National%20Police%20Service%20%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The National Police Service (amendment) Bill, 2025.. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/The%20National%20Police%20Service%20%28Amendment%29%20Bill%2C%202025.pdf,pending,2026-02-11T03:02:23.767698
"The Harm Reduction Bill, 2025.",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Harm%20Reduction%20Bill%2C%202025.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Harm%20Reduction%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Harm Reduction Bill, 2025.. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/The%20Harm%20Reduction%20Bill%2C%202025.pdf,pending,2026-02-11T03:02:23.767698
"The Kenya Roads (amendment)(no.3) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Roads%20%28Amendment%29%28No.3%29%20Bill%2C%202025.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Roads%20%28Amendment%29%28No.3%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Roads (amendment)(no.3) Bill, 2025.. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Roads%20%28Amendment%29%28No.3%29%20Bill%2C%202025.pdf,pending,2026-02-11T03:02:23.768216
"The Air Passenger Service Charge (amendment) Bill, 2025 (national Assmebly Bills No. 35)",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20AIR%20PASSENGER%20SERVICE%20CHARGE%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSMEBLY%20BILLS%20NO.%2035%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20AIR%20PASSENGER%20SERVICE%20CHARGE%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSMEBLY%20BILLS%20NO.%2035%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Air Passenger Service Charge (amendment) Bill, 2025 (national Assmebly Bills No. 35). Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/THE%20AIR%20PASSENGER%20SERVICE%20CHARGE%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSMEBLY%20BILLS%20NO.%2035%29.pdf,pending,2026-02-11T03:02:23.768733
"The Privatization Bill, 2025 (national Assembly Bills No. 36)",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20PRIVATIZATION%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2036%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20PRIVATIZATION%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2036%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Privatization Bill, 2025 (national Assembly Bills No. 36). Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-08/THE%20PRIVATIZATION%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2036%29.pdf,pending,2026-02-11T03:02:23.769273
