title,sponsor,status,date,url,pdf_url,source,category,summary,text_content,analysis_status,created_at
"Order Paper For Wednesday, 11th Feb 2026- Afternoon Sitting",National Assembly,Published,2026-01-01,https://www.parliament.go.ke/sites/default/files/2026-02/ORDER%20PAPER%20FOR%20WEDNESDAY%2C%2011TH%20FEB%202026-%20AFTERNOON%20SITTING.pdf,https://www.parliament.go.ke/sites/default/files/2026-02/ORDER%20PAPER%20FOR%20WEDNESDAY%2C%2011TH%20FEB%202026-%20AFTERNOON%20SITTING.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Order Paper For Wednesday, 11th Feb 2026- Afternoon Sitting. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2026-02/ORDER%20PAPER%20FOR%20WEDNESDAY%2C%2011TH%20FEB%202026-%20AFTERNOON%20SITTING.pdf,pending,2026-02-11T03:02:23.758704
"Hansard Report - Thursday, 4th December 2025 - Evening Sitting",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Thursday%2C%204th%20December%202025%20%28E%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Thursday%2C%204th%20December%202025%20%28E%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Hansard Report - Thursday, 4th December 2025 - Evening Sitting. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Thursday%2C%204th%20December%202025%20%28E%29.pdf,pending,2026-02-11T03:02:23.759214
"Hansard Report - Thursday, 4th December 2025 - Afternoon Sitting",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Thursday%2C%204th%20December%202025%20%28P%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Thursday%2C%204th%20December%202025%20%28P%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Hansard Report - Thursday, 4th December 2025 - Afternoon Sitting. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Thursday%2C%204th%20December%202025%20%28P%29.pdf,pending,2026-02-11T03:02:23.759214
"Hansard Report - Wednesday, 3rd December 2025 - Afternoon Sitting",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Wednesday%2C%203rd%20December%202025%20%28P%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Wednesday%2C%203rd%20December%202025%20%28P%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Hansard Report - Wednesday, 3rd December 2025 - Afternoon Sitting. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/Hansard%20Report%20-%20Wednesday%2C%203rd%20December%202025%20%28P%29.pdf,pending,2026-02-11T03:02:23.759824
"The Books And Newspapers (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20BOOKS%20AND%20NEWSPAPERS%20%28AMENDMENT%29%20BILL%2C2025.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20BOOKS%20AND%20NEWSPAPERS%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Books And Newspapers (amendment) Bill,2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/THE%20BOOKS%20AND%20NEWSPAPERS%20%28AMENDMENT%29%20BILL%2C2025.pdf,pending,2026-02-11T03:02:23.760347
"The Sexual Offences (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20SEXUAL%20OFFENCES%20%28AMENDMENT%29%20BILL%2C2025.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20SEXUAL%20OFFENCES%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Sexual Offences (amendment) Bill,2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/THE%20SEXUAL%20OFFENCES%20%28AMENDMENT%29%20BILL%2C2025.pdf,pending,2026-02-11T03:02:23.760347
"The Pest Control Products Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20PEST%20CONTROL%20PRODUCTS%20BILL%2C%202025.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20PEST%20CONTROL%20PRODUCTS%20BILL%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Pest Control Products Bill, 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/THE%20PEST%20CONTROL%20PRODUCTS%20BILL%2C%202025.pdf,pending,2026-02-11T03:02:23.760347
"The National Cohesion And Intergration (amendment), 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20NATIONAL%20COHESION%20AND%20INTERGRATION%20%28AMENDMENT%29%2C%20%202025.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20NATIONAL%20COHESION%20AND%20INTERGRATION%20%28AMENDMENT%29%2C%20%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The National Cohesion And Intergration (amendment), 2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/THE%20NATIONAL%20COHESION%20AND%20INTERGRATION%20%28AMENDMENT%29%2C%20%202025.pdf,pending,2026-02-11T03:02:23.761353
"The Law Of Contract (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20LAW%20OF%20CONTRACT%20%28AMENDMENT%29%20BILL%2C2025.pdf,https://www.parliament.go.ke/sites/default/files/2025-12/THE%20LAW%20OF%20CONTRACT%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Law Of Contract (amendment) Bill,2025. Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-12/THE%20LAW%20OF%20CONTRACT%20%28AMENDMENT%29%20BILL%2C2025.pdf,pending,2026-02-11T03:02:23.761863
"The Local Content Bill, 2025 (national Assembly Bills No. 45)",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-11/THE%20LOCAL%20CONTENT%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2045%29.pdf,https://www.parliament.go.ke/sites/default/files/2025-11/THE%20LOCAL%20CONTENT%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2045%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Local Content Bill, 2025 (national Assembly Bills No. 45). Source: National Assembly Bills.",Full text unavailable at scrape time but available at: https://www.parliament.go.ke/sites/default/files/2025-11/THE%20LOCAL%20CONTENT%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2045%29.pdf,pending,2026-02-11T03:02:23.761863
