title,sponsor,status,date,url,source,category,summary,created_at
"The Virtual Asset Service Providers Bill, 2025 (2)",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-04/THE%20VIRTUAL%20ASSET%20SERVICE%20PROVIDERS%20BILL%2C%202025%20%282%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Virtual Asset Service Providers Bill, 2025 (2). Source: National Assembly Bills.",2026-02-11T00:05:52.408263
"The Social Protection Bill,2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-03/THE%20SOCIAL%20PROTECTION%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Social Protection Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:52.410122
"The Excise Duty (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-03/THE%20EXCISE%20DUTY%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Excise Duty (amendment) Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:52.411364
"The Division Of Revenue Bill,2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-03/THE%20DIVISION%20OF%20REVENUE%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Division Of Revenue Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:52.413011
"The Constitution Of Kenya (amendment) Bill, 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-03/THE%20CONSTITUTION%20OF%20KENYA%20%28AMENDMENT%29%20BILL%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Constitution Of Kenya (amendment) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:52.414995
"The Supplementary Appropriation Bill,2025",National Assembly,Appropriation,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-03/THE%20SUPPLEMENTARY%20APPROPRIATION%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Supplementary Appropriation Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:52.416599
"The Anti-money Laundering And Combating Of Terrorism Financing Laws (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-03/THE%20ANTI-MONEY%20LAUNDERING%20AND%20COMBATING%20OF%20TERRORISM%20FINANCING%20LAWS%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Anti-money Laundering And Combating Of Terrorism Financing Laws (amendment) Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:52.417812
"The Assumption Of The Office Of President And Transition Of Executive Authority Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/THE%20ASSUMPTION%20OF%20THE%20OFFICE%20OF%20PRESIDENT%20AND%20TRANSITION%20OF%20EXECUTIVE%20AUTHORITY%20BILL%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Assumption Of The Office Of President And Transition Of Executive Authority Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:52.419507
"The Penal Code (amendment) Bill, 2024 (national Assembly Bills No. 53)",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/THE%20PENAL%20CODE%20%28AMENDMENT%29%20BILL%2C%202024%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2053%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Penal Code (amendment) Bill, 2024 (national Assembly Bills No. 53). Source: National Assembly Bills.",2026-02-11T00:05:52.421114
The Meteorology Bill (senate Bill No. 45 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/The%20Meteorology%20Bill%20%28Senate%20Bill%20No.%2045%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Meteorology Bill (senate Bill No. 45 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:52.422786
"The County Governments Additional Allocations Bill,2025.",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/THE%20COUNTY%20GOVERNMENTS%20ADDITIONAL%20ALLOCATIONS%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The County Governments Additional Allocations Bill,2025.. Source: National Assembly Bills.",2026-02-11T00:05:52.424459
The Public Transport (motorcycle Regulation) Bill (senate Bill No. 38 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/The%20Public%20Transport%20%28Motorcycle%20Regulation%29%20Bill%20%28Senate%20Bill%20No.%2038%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Public Transport (motorcycle Regulation) Bill (senate Bill No. 38 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:52.425720
The Public Finance Management (amendment) Bill (senate Bill No. 40 Of 2023),Senate,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/The%20Public%20Finance%20Management%20%28Amendment%29%20Bill%20%28Senate%20Bill%20No.%2040%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Public Finance Management (amendment) Bill (senate Bill No. 40 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:52.426925
The Political Parties (amendment) (no.2) Bill (senate Bill No. 26 Of 2024),Senate,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/The%20Political%20Parties%20%28Amendment%29%20%28No.2%29%20Bill%20%28Senate%20Bill%20No.%2026%20of%202024%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Political Parties (amendment) (no.2) Bill (senate Bill No. 26 Of 2024). Source: National Assembly Bills.,2026-02-11T00:05:52.428966
The Intergovernmental Relations (amendment) Bill (senate Bill No. 12 Of 2024),Senate,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/The%20Intergovernmental%20Relations%20%28Amendment%29%20Bill%20%28Senate%20Bill%20No.%2012%20of%202024%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Intergovernmental Relations (amendment) Bill (senate Bill No. 12 Of 2024). Source: National Assembly Bills.,2026-02-11T00:05:52.430768
The Fire And Rescue Services Professionals Bill (senate Bill No. 55 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/The%20Fire%20and%20Rescue%20Services%20Professionals%20Bill%20%28Senate%20Bill%20No.%2055%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Fire And Rescue Services Professionals Bill (senate Bill No. 55 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:52.431554
The Elections (amendment) (no.2) Bill (senate Bill No. 29 Of 2024),Senate,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-02/The%20Elections%20%28Amendment%29%20%28No.2%29%20Bill%20%28Senate%20Bill%20No.%2029%20of%202024%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Elections (amendment) (no.2) Bill (senate Bill No. 29 Of 2024). Source: National Assembly Bills.,2026-02-11T00:05:52.433788
"Treaty Making And Ratification (amendment) (no.2) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/Treaty%20Making%20and%20Ratification%20%28Amendment%29%20%28No.2%29%20Bill%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Treaty Making And Ratification (amendment) (no.2) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:57.979084
"The Public Service Human Resource Management Bill,2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/THE%20PUBLIC%20SERVICE%20HUMAN%20RESOURCE%20MANAGEMENT%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Service Human Resource Management Bill,2024. Source: National Assembly Bills.",2026-02-11T00:05:57.980105
"Unclimed Financial Assets (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/Unclimed%20Financial%20Assets%20%28Amendment%29%20Bill%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Unclimed Financial Assets (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:57.981859
"The Industrial Training (amendment) Bill,2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/THE%20INDUSTRIAL%20TRAINING%20%28AMENDMENT%29%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Industrial Training (amendment) Bill,2024. Source: National Assembly Bills.",2026-02-11T00:05:57.983723
"The Business Laws (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/Business%20Laws%20%28Amendment%29%20Bill%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Business Laws (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:57.984876
"The Maternal, Newborn And Child Health Bill (senate Bill No. 17 Of 2023)",Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/The%20Maternal%2C%20Newborn%20and%20Child%20Health%20Bill%20%28Senate%20Bill%20No.%2017%20of%202023%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Maternal, Newborn And Child Health Bill (senate Bill No. 17 Of 2023). Source: National Assembly Bills.",2026-02-11T00:05:57.986462
The Tea (amendment) Bill (senate Bill No. 1 Of 2023),Senate,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/The%20Tea%20%28Amendment%29%20Bill%20%28Senate%20Bill%20No.%201%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Tea (amendment) Bill (senate Bill No. 1 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:57.988203
"Public Procurement And Asset Disposal (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/Public%20Procurement%20and%20Asset%20Disposal%20%28Amendment%29%20Bill%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Public Procurement And Asset Disposal (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:57.988747
"The Tax Procedures (amendment) (no. 2) Bill, 2024 (national Assembly Bills No. 46)",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/THE%20TAX%20PROCEDURES%20%28AMENDMENT%29%20%28NO.%202%29%20BILL%2C%202024%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2046%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Tax Procedures (amendment) (no. 2) Bill, 2024 (national Assembly Bills No. 46). Source: National Assembly Bills.",2026-02-11T00:05:57.990284
"The Tax Laws (amendment) Bil, 2024 (national Assembly Bills No. 47)",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/THE%20TAX%20LAWS%20%28AMENDMENT%29%20BIL%2C%202024%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2047%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Tax Laws (amendment) Bil, 2024 (national Assembly Bills No. 47). Source: National Assembly Bills.",2026-02-11T00:05:57.992119
"The Public Finance Management (amendment) (no.3) Bill, 2024 (national Assembly Bills No. 44)",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/THE%20PUBLIC%20FINANCE%20MANAGEMENT%20%28AMENDMENT%29%20%28NO.3%29%20BILL%2C%202024%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2044%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Finance Management (amendment) (no.3) Bill, 2024 (national Assembly Bills No. 44). Source: National Assembly Bills.",2026-02-11T00:05:57.992741
"The Public Finance Management (amendment) (no.4) Bill, 2024 (national Assembly Bills No. 45)",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-11/THE%20PUBLIC%20FINANCE%20MANAGEMENT%20%28AMENDMENT%29%20%28NO.4%29%20BILL%2C%202024%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2045%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Finance Management (amendment) (no.4) Bill, 2024 (national Assembly Bills No. 45). Source: National Assembly Bills.",2026-02-11T00:05:57.993902
"The Parliamentary Powers And Privileges (amendment) Bill, 2023 (sen. Bill No. 37 Of 2023)",National Assembly,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/The%20Parliamentary%20Powers%20and%20Privileges%20%28Amendment%29%20Bill%2C%202023%20%28Sen.%20Bill%20No.%2037%20of%202023%29_2.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Parliamentary Powers And Privileges (amendment) Bill, 2023 (sen. Bill No. 37 Of 2023). Source: National Assembly Bills.",2026-02-11T00:05:57.995080
"The County Governments Additional Allocations Bill, 2023",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/The%20County%20Governments%20Additional%20Allocations%20Bill%2C%202023.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The County Governments Additional Allocations Bill, 2023. Source: National Assembly Bills.",2026-02-11T00:05:57.996367
"The Institute Of Social Work Professionals Bill, 2023",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/The%20Institute%20of%20Social%20Work%20Professionals%20Bill%2C%202023_0.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Institute Of Social Work Professionals Bill, 2023. Source: National Assembly Bills.",2026-02-11T00:05:57.996874
"The Whistleblower Protection Bill, 2023 (national Assembly Bills No. 56)",National Assembly,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/THE%20WHISTLEBLOWER%20PROTECTION%20BILL%2C%202023%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2056%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Whistleblower Protection Bill, 2023 (national Assembly Bills No. 56). Source: National Assembly Bills.",2026-02-11T00:05:57.997970
"The Computer Misuse And Cybercrime (amendment) Bill,2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/THE%20COMPUTER%20MISUSE%20AND%20CYBERCRIME%20%28AMENDMENT%29%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Computer Misuse And Cybercrime (amendment) Bill,2024. Source: National Assembly Bills.",2026-02-11T00:05:57.999191
"The Pyrethrum (repeal) Bill,2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/THE%20PYRETHRUM%20%28REPEAL%29%20BILL%2C2024%20%282%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Pyrethrum (repeal) Bill,2024. Source: National Assembly Bills.",2026-02-11T00:05:58.000333
"The Horticultural Crops Authority Bill,2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/THE%20HORTICULTURAL%20CROPS%20AUTHORITY%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Horticultural Crops Authority Bill,2024. Source: National Assembly Bills.",2026-02-11T00:05:58.000856
"The Tax Procedures (amendment) Bill, (national Assembly Bill No. 43) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-09/THE%20TAX%20PROCEDURES%20%28AMENDMENT%29%20BILL%2C%20%28NATIONAL%20ASSEMBLY%20BILL%20NO.%2043%29%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Tax Procedures (amendment) Bill, (national Assembly Bill No. 43) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:58.001446
"The Environmental Professionals Institute Of Kenya Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-08/The%20Environmental%20Professionals%20Instutute%20of%20Kenya%20Bill%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Environmental Professionals Institute Of Kenya Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:58.001951
"The Kenya Revenue Authority (amendment) (no.2) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-08/The%20Kenya%20Revenue%20Authority%20%28Amendment%29%20%28No.2%29%20Bill%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Revenue Authority (amendment) (no.2) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:58.001951
"The Births And Deaths Registration (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-08/The%20Births%20and%20Deaths%20Registration%20%28Amendment%29%20Bill%2C%202024%20-%20Copy.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Births And Deaths Registration (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:58.002957
The Coffee Bill (senate Bill No. 10 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-07/The%20Coffee%20Bill%20%28Senate%20Bill%20No.%2010%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Coffee Bill (senate Bill No. 10 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:58.003576
"The Supplementary Appropriation (no. 2) Bill, 2024",National Assembly,Appropriation,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-07/The%20Supplementary%20Appropriation%20%28No.%202%29%20Bill%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Supplementary Appropriation (no. 2) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:58.004154
"The Livestock Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-07/THE%20LIVESTOCK%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Livestock Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.789688
"The Division Of Revenue (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-07/THE%20DIVISION%20OF%20REVENUE%20%28AMENDMENT%29%20BILL%2C%202024_0.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Division Of Revenue (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.791453
The County Governments Additional Allocations Bill (senate Bill No. 19 Of 2024),Senate,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/The%20County%20Governments%20Additional%20Allocations%20Bill%20%28Senate%20Bill%20No.%2019%20of%202024%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Governments Additional Allocations Bill (senate Bill No. 19 Of 2024). Source: National Assembly Bills.,2026-02-11T00:06:03.793868
The County Allocation Of Revenue Bill (senate Bill No. 25 Of 2024),Senate,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/The%20County%20Allocation%20of%20Revenue%20Bill%20%28Senate%20Bill%20No.%2025%20of%202024%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Allocation Of Revenue Bill (senate Bill No. 25 Of 2024). Source: National Assembly Bills.,2026-02-11T00:06:03.796670
"The Appropriation Bill, 2024",National Assembly,Appropriation,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20APPROPRIATION%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Appropriation Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.798501
"The Teachers Service Commission (amendment) Bill,2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20TEACHERS%20SERVICE%20COMMISSION%20%28AMENDMENT%29%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Teachers Service Commission (amendment) Bill,2024. Source: National Assembly Bills.",2026-02-11T00:06:03.799653
"The Kenya Revenue Authority (amendment) Bill,2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20KENYA%20REVENUE%20AUTHORITY%20%28AMENDMENT%29%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Revenue Authority (amendment) Bill,2024. Source: National Assembly Bills.",2026-02-11T00:06:03.801729
"The Kenya Roads(amendment Bill,2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20KENYA%20ROADS%28AMENDMENT%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Roads(amendment Bill,2024. Source: National Assembly Bills.",2026-02-11T00:06:03.802863
"The Assembly And Demonstration Bill,2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20ASSEMBLY%20AND%20DEMONSTRATION%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Assembly And Demonstration Bill,2024. Source: National Assembly Bills.",2026-02-11T00:06:03.804807
Supplementary Appropriation Bill 2024,National Assembly,Appropriation,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/Supplementary%20Appropriation%20Bill%202024.pdf,National Assembly Bills,Legislative,Bill before Parliament: Supplementary Appropriation Bill 2024. Source: National Assembly Bills.,2026-02-11T00:06:03.805526
"The Kenya Roads Board (amenedment) Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20KENYA%20ROADS%20BOARD%20%28AMENEDMENT%29%20BIll%2C%202024%20%282%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Roads Board (amenedment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.807316
"The National Police Service Commission (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20NATIONAL%20POLICE%20SERVICE%20COMMISSION%20%28AMENDMENT%29%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The National Police Service Commission (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.811441
"The Agricultural Professionals Registration And Licensing Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/THE%20AGRICULTURAL%20PROFESSIONALS%20REGISTRATION%20AND%20LICENSING%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Agricultural Professionals Registration And Licensing Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.814518
The County Boundaries Bill (senate Bill No. 6 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-06/The%20County%20Boundaries%20Bill%20%28Senate%20Bill%20No.%206%20of%202023%29-compressed.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Boundaries Bill (senate Bill No. 6 Of 2023). Source: National Assembly Bills.,2026-02-11T00:06:03.816947
"The National Transport And Safety Authority (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/THE%20NATIONAL%20TRANSPORT%20AND%20SAFETY%20AUTHORITY%20%28AMENDMENT%29%20BILL%2C%202024%20%281%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The National Transport And Safety Authority (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.818740
"The Pension (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/THE%20PENSION%20%28AMENDMENT%29%20BILL%2C%202024%20%281%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Pension (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.821228
"The Public Finance Management (amendment)(no.2) Bill ,2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/THE%20PUBLIC%20FINANCE%20MANAGEMENT%20%28AMENDMENT%29%28NO.2%29%20BILL%20%2C2024%20%281%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Finance Management (amendment)(no.2) Bill ,2024. Source: National Assembly Bills.",2026-02-11T00:06:03.823002
"The Salaries And Remuneration Commission (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/THE%20SALARIES%20AND%20REMUNERATION%20COMMISSION%20%28AMENDMENT%29%20BILL%2C%202024%20%281%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Salaries And Remuneration Commission (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.825547
"The Public Relations And Communication Management Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/The%20Public%20Relations%20And%20Communication%20Management%20Bill%2C%202024%20%282%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Relations And Communication Management Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.828816
"The Culture Bill , 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/The%20Culture%20Bill%20%2C%202024%20%281%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Culture Bill , 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.831210
"The Universities (amendment) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/The%20Universities%20%28Amendment%29%20Bill%2C%202024%20%281%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Universities (amendment) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.833786
"Finance Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-05/Finance%20Bill%2C%202024_0.pdf,National Assembly Bills,Legislative,"Bill before Parliament: Finance Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.836173
"The Unclaimed Financial Assets (amendments) Bill, 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-03/THE%20UNCLAIMED%20FINANCIAL%20ASSETS%20%28AMENDMENTS%29%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Unclaimed Financial Assets (amendments) Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.837907
"The Division Of Revenue Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2024-03/THE%20DIVISION%20OF%20REVENUE%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Division Of Revenue Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:06:03.840554
The Persons With Dissabilities Bill 2023 Senate Bill No7 Of 2023,Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2024-03/The%20Persons%20with%20Dissabilities%20Bill%202023%20Senate%20Bill%20no7%20of%202023.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Persons With Dissabilities Bill 2023 Senate Bill No7 Of 2023. Source: National Assembly Bills.,2026-02-11T00:06:09.568373
The Agricultural And Livestock Extention Services Bill 2022 Senate Bill No12 Of 2022,Senate,Published,2022-01-01,https://www.parliament.go.ke/sites/default/files/2024-03/The%20Agricultural%20and%20Livestock%20Extention%20Services%20Bill%202022%20Senate%20Bill%20no12%20of%202022.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Agricultural And Livestock Extention Services Bill 2022 Senate Bill No12 Of 2022. Source: National Assembly Bills.,2026-02-11T00:06:09.569591
The County Licensing Uniform Procedures Bill Senate Bill No9 Of 2022,Senate,Published,2022-01-01,https://www.parliament.go.ke/sites/default/files/2024-03/The%20County%20Licensing%20Uniform%20Procedures%20Bill%20Senate%20Bill%20no9%20of%202022.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Licensing Uniform Procedures Bill Senate Bill No9 Of 2022. Source: National Assembly Bills.,2026-02-11T00:06:09.570101
