title,sponsor,status,date,url,source,category,summary,created_at
The Street Vendors (protection Of Livelihood) Bill (senate Bill No. 41 Of 2023),Senate,Published,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Street%20Vendors%20%28Protection%20of%20Livelihood%29%20Bill%20%28Senate%20Bill%20No.%2041%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Street Vendors (protection Of Livelihood) Bill (senate Bill No. 41 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:39.622500
"The Supplementary Appropriation (no.2) Bill,2025",National Assembly,Appropriation,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/THE%20SUPPLEMENTARY%20APPROPRIATION%20%28NO.2%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Supplementary Appropriation (no.2) Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:39.624164
"The Forest Conservation And Management(amendment) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Forest%20Conservation%20and%20Management%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Forest Conservation And Management(amendment) Bill, 2025.. Source: National Assembly Bills.",2026-02-11T00:05:39.625718
"The Public Service Superannuation Scheme(amendment) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-09/The%20Public%20Service%20Superannuation%20Scheme%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Service Superannuation Scheme(amendment) Bill, 2025.. Source: National Assembly Bills.",2026-02-11T00:05:39.627214
"The Quality Healthcare And Patient Safety Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Quality%20Healthcare%20and%20Patient%20Safety%20Bill%2C%202025r_0.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Quality Healthcare And Patient Safety Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:39.628409
"The Kenya Judiciary Academy Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Judiciary%20Academy%20Bill%2C%202025r.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Judiciary Academy Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:39.630037
"The Government Owned Enterprises Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Government%20Owned%20Enterprises%20Bill%2C%202025r.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Government Owned Enterprises Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:39.631748
"The National Police Service (amendment) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20National%20Police%20Service%20%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The National Police Service (amendment) Bill, 2025.. Source: National Assembly Bills.",2026-02-11T00:05:39.632352
"The Harm Reduction Bill, 2025.",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Harm%20Reduction%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Harm Reduction Bill, 2025.. Source: National Assembly Bills.",2026-02-11T00:05:39.634302
"The Kenya Roads (amendment)(no.3) Bill, 2025.",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20Kenya%20Roads%20%28Amendment%29%28No.3%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Roads (amendment)(no.3) Bill, 2025.. Source: National Assembly Bills.",2026-02-11T00:05:39.635454
"The Air Passenger Service Charge (amendment) Bill, 2025 (national Assmebly Bills No. 35)",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20AIR%20PASSENGER%20SERVICE%20CHARGE%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSMEBLY%20BILLS%20NO.%2035%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Air Passenger Service Charge (amendment) Bill, 2025 (national Assmebly Bills No. 35). Source: National Assembly Bills.",2026-02-11T00:05:39.636589
"The Privatization Bill, 2025 (national Assembly Bills No. 36)",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/THE%20PRIVATIZATION%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2036%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Privatization Bill, 2025 (national Assembly Bills No. 36). Source: National Assembly Bills.",2026-02-11T00:05:39.637763
The County Assemblies Pensions Scheme (senate Bill No. 14 Of 2024),Senate,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-08/The%20County%20Assemblies%20Pensions%20Scheme%20%28Senate%20Bill%20No.%2014%20of%202024%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Assemblies Pensions Scheme (senate Bill No. 14 Of 2024). Source: National Assembly Bills.,2026-02-11T00:05:39.638854
