Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,Date_established
Fully-functional,Umoja Health Centre,Umoja I,Embakasi West,Embakasi West,Nairobi,Pioneer D Community Health Unit,702288,43071
Fully-functional,Umoja Health Centre,Umoja I,Embakasi West,Embakasi West,Nairobi,Pioneer C Community Health Unit,702287,43071
Fully-functional,Umoja Health Centre,Umoja I,Embakasi West,Embakasi West,Nairobi,Pioneer B Community Health Unit,702286,43346
Fully-functional,Umoja Health Centre,Umoja I,Embakasi West,Embakasi West,Nairobi,Pioneer A Community Health Unit,702285,43346
semi-functional,Khwisero Health Centre,Kisa North,Khwisero,Khwisero,Kakamega,Wambulishe Central Community Health Unit,702282,43279
Fully-functional,Thung'ari Dispensary,Thegu River,Kieni,Kieni East,Nyeri,Rongai Community Health Unit,702281,42583
Fully-functional,Muanda Dispensary,South Bukusu,Bumula,Bumula,Bungoma,Muanda A Community Health Community Health Unit,702278,40182
Fully-functional,Narengewoi Dispensary,Lakezone,Turkana North,Turkana North,Turkana,Narengewoi Community Health Unit,702277,43089
Fully-functional,Lurare Dispensary,Maraka,Webuye East,Webuye East,Bungoma,Muchi Community Health Unit,702276,39995
semi-functional,Lurare Dispensary,Maraka,Webuye East,Webuye East,Bungoma,Lurare Community Health Unit,702275,39995
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Lindi F Community Health Unit,702274,43282
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Lindi C Community Health Unit,702273,43282
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Lindi E Community Health Unit,702272,43282
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Lindi B Community Health Unit,702271,43282
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Lindi D Community Health Unit,702270,43282
Fully-functional,Lindi Community Clinic,Lindi,Kibra,Kibra,Nairobi,Lindi A Community Health Unit,702269,43282
Fully-functional,Kibera Community Health Centre - Amref,Laini Saba,Kibra,Kibra,Nairobi,Laini Saba C Community Health Unit,702268,43282
Fully-functional,Kibera Community Health Centre - Amref,Laini Saba,Kibra,Kibra,Nairobi,Laini Saba B Community Health Unit,702267,43282
Fully-functional,Uthiru Muthua Dispensary,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Uthiru A Community Health Unit,702266,40908
Fully-functional,Uthiru Muthua Dispensary,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Kiuru A Community Health Unit,702265,40908
Fully-functional,Kibera Community Health Centre - Amref,Laini Saba,Kibra,Kibra,Nairobi,Laini Saba A Community Health Unit,702264,43282
Fully-functional,Kibera Community Health Centre - Amref,Laini Saba,Kibra,Kibra,Nairobi,Mashimoni C Community Health Unit,702263,43282
Fully-functional,Chandaria Health Centre,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Ruthimitu A Community Health Unit,702262,40907
Fully-functional,Kibera Community Health Centre - Amref,Laini Saba,Kibra,Kibra,Nairobi,Mashimoni B Community Health Unit,702261,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Maka Community Health Unit,702260,40878
Fully-functional,Kibera Community Health Centre - Amref,Laini Saba,Kibra,Kibra,Nairobi,Mashimoni A Community Health Unit,702259,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Kawangware A Community Health Unit,702258,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Maini Community Health Unit,702257,40878
Fully-functional,Kianda 42 Community Clinic,Sarang'ombe,Kibra,Kibra,Nairobi,Kianda E Community Health Unit,702255,43282
Fully-functional,Kianda 42 Community Clinic,Sarang'ombe,Kibra,Kibra,Nairobi,Kianda D Community Health Unit,702254,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Karambee B Community Health Unit,702253,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Riruta Community Health Unit,702252,40908
Fully-functional,Kianda 42 Community Clinic,Sarang'ombe,Kibra,Kibra,Nairobi,Kianda C Community Health Unit,702251,43282
Fully-functional,Eastleigh Health Centre,Airbase,Kamukunji,Kamukunji,Nairobi,Pendo Community Health Unit,702250,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Block Bc Community Health Unit,702249,42881
Fully-functional,Waithaka Health Centre,Waithaka,Dagoretti South,Dagoretti South,Nairobi,Waithaka Central Community Health Unit,702248,40682
Fully-functional,Kangemi Health Centre,Kangemi,Westlands,Westlands,Nairobi,Gichagi A Community Health Unit,702247,43282
Fully-functional,Kangemi Health Centre,Kangemi,Westlands,Westlands,Nairobi,Kangemi Community Health Unit,702246,43282
Fully-functional,Kangemi Health Centre,Kangemi,Westlands,Westlands,Nairobi,Waruku A Community Health Unit,702245,43281
Fully-functional,Githogoro Runda Baptist Clinic (Getrudes Nairobi),Karura,Westlands,Westlands,Nairobi,Githogoro Community Health Unit,702244,43282
Fully-functional,Railway Training Institute Dispensary South B,Nairobi South,Starehe,Starehe,Nairobi,Bakiri View B Community Health Unit,702243,43089
Fully-functional,Kariokor Clinic,Ziwani/Kariokor,Starehe,Starehe,Nairobi,Matopeni Community Health Unit,702242,42917
Fully-functional,Kangemi Health Centre,Kangemi,Westlands,Westlands,Nairobi,Kibagare 2 Community Health Unit,702241,43282
Fully-functional,Gatwikira B Community Clinic(BZ),Sarang'ombe,Kibra,Kibra,Nairobi,Gatwikira F Community Health Unit,702240,43282
Fully-functional,Gatwikira B Community Clinic(BZ),Sarang'ombe,Kibra,Kibra,Nairobi,Gatwikira E Community Health Unit,702239,43282
Fully-functional,SHOFCO Medical Clinic (Kibera),Sarang'ombe,Kibra,Kibra,Nairobi,Gatwikira D Community Health Unit,702238,43282
Fully-functional,Gatwikira B Community Clinic(BZ),Sarang'ombe,Kibra,Kibra,Nairobi,Gatwikira C Community Health Unit,702237,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Mujikaki Community Health Unit,702236,42558
Fully-functional,SHOFCO Medical Clinic (Kibera),Sarang'ombe,Kibra,Kibra,Nairobi,Gatwikira B Community Health Unit,702235,43282
Fully-functional,Kariobangi South Clinic,Kariobangi South,Embakasi West,Embakasi West,Nairobi,Kariobangi South A Community Health Unit,702234,43283
Fully-functional,Kariobangi South Clinic,Kariobangi South,Embakasi West,Embakasi West,Nairobi,Kcc B Community Health Unit,702233,43283
Fully-functional,Gatwikira B Community Clinic(BZ),Sarang'ombe,Kibra,Kibra,Nairobi,Gatwikira A Community Health Unit,702232,43282
Fully-functional,Chandaria Health Centre,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Matini Community Health Unit,702230,43282
Fully-functional,Kianda 42 Community Clinic,Sarang'ombe,Kibra,Kibra,Nairobi,Kianda B Community Health Unit,702229,43282
Fully-functional,Kianda 42 Community Clinic,Sarang'ombe,Kibra,Kibra,Nairobi,Kianda A Community Health Unit,702228,43282
Fully-functional,Waithaka Health Centre,Waithaka,Dagoretti South,Dagoretti South,Nairobi,Ndwaru Community Health Unit,702226,43282
Fully-functional,Mbagathi District Hospital,Woodley/Kenyatta Golf Course,Kibra,Kibra,Nairobi,Golfcourse A Community Health Unit,702225,43282
Fully-functional,Westlands Health Centre,Parklands/Highridge,Westlands,Westlands,Nairobi,Deep Sea A Community Health Unit,702224,40483
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Mashimoni Community Health Unit,702223,43282
Fully-functional,Kibera D O Dispensary,Makina,Kibra,Kibra,Nairobi,Kichinjio A Community Health Unit,702222,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Ngumba Community Health Unit,702221,43282
Fully-functional,Silanga (MSF Belgium) Dispensary,Nyayo Highrise,Kibra,Langata,Nairobi,Silanga Community Health Unit,702220,40664
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Mathare No10 A Community Health Unit,702219,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Mabatini Community Health Unit,702218,40179
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Migingo B Community Health Unit,702217,43282
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Ngomongo Bd Community Health Unit,702216,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Mathare 3c Community Health Unit,702214,40513
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Foot Bridge Community Health Unit,702212,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Mathare 3a Community Health Unit,702211,40179
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Mathare No 10 Community Health Unit,702210,40513
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Mathare 3b Community Health Unit,702209,40709
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Marima Community Health Unit,702208,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Glucola Community Health Unit,702207,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Bega Kwa Bega Community Health Unit,702206,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Kwa Cameroon Community Health Unit,702205,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Seldom Community Health Unit,702204,43089
Fully-functional,Kibera D O Dispensary,Makina,Kibra,Kibra,Nairobi,Makina A Community Health Unit,702203,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Kenatco B Community Health Unit,702202,43089
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Jausongo Community Health Unit,702201,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Kenatco A Community Health Unit,702200,43089
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Bosnia Community Health Unit,702199,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Baragoi Community Health Unit,702198,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Karambee Community Health Unit,702197,43089
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Wasue Community Health Unit,702196,43282
Fully-functional,Kariokor Clinic,Ziwani/Kariokor,Starehe,Starehe,Nairobi,Ziwani B Community Health Unit,702195,42917
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Arieal Community Health Unit,702194,43282
Fully-functional,Kariokor Clinic,Ziwani/Kariokor,Starehe,Starehe,Nairobi,Ziwani A Community Health Unit,702193,42917
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Saigon Community Health Unit,702192,43282
Fully-functional,Ngara Health Centre (City Council of Nairobi),Ngara,Starehe,Starehe,Nairobi,Ngara Community Health Unit,702191,42917
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Narrow Gate Community Health Unit,702190,43282
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Acref Community Health Unit,702189,43282
Fully-functional,Nairobi Remand Prison Health Centre,Landimawe,Starehe,Starehe,Nairobi,Commercial B Community Health Unit,702188,42309
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Jodogo Lane Community Health Unit,702187,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Manyatta Community Health Unit,702186,43282
Fully-functional,Silanga (MSF Belgium) Dispensary,Nyayo Highrise,Kibra,Langata,Nairobi,Silanga C Community Health Unit,702185,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Mutuini Community Health Unit,702184,43282
Fully-functional,Nairobi Remand Prison Health Centre,Landimawe,Starehe,Starehe,Nairobi,Mandazi Road Community Health Unit,702183,42309
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Tripple M Community Health Unity,702182,43282
Fully-functional,Nairobi Remand Prison Health Centre,Landimawe,Starehe,Starehe,Nairobi,Commercial A Community Health Unit,702181,42309
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Kag Community Health Unit,702180,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Njiku B Community Health Unit,702179,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Kandutu Community Health Unit,702178,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Kigaro Community Health Unit,702177,43282
Fully-functional,Nairobi Remand Prison Health Centre,Landimawe,Starehe,Starehe,Nairobi,Crescent Community Health Unit,702176,42309
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Njiku A Community Health Unit,702175,43282
Fully-functional,Silanga (MSF Belgium) Dispensary,Nyayo Highrise,Kibra,Langata,Nairobi,Silanga B Community Health Unit,702174,43282
Fully-functional,Nairobi South Clinic,Nairobi South,Starehe,Starehe,Nairobi,Shimo La Tewa Community Health Unit,702173,42902
Closed,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Kikan Community Health Unit,702172,41153
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Kwa Murigi Community Health Unit,702170,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Grate Gate Community Health Unit,702169,43282
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Kasabuni Kwa Festo Community Health Unit,702168,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Kerigo A Community Health Unit,702167,43282
Fully-functional,Mutuini Sub-District Hospital,Mutu-ini,Dagoretti South,Dagoretti South,Nairobi,Kamwanya Community Health Unit,702166,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Old Kasabuni Community Health Unit,702165,43282
Fully-functional,Nairobi South Clinic,Nairobi South,Starehe,Starehe,Nairobi,Mariguini 2 Community Health Unit,702164,42901
Fully-functional,Nairobi South Clinic,Nairobi South,Starehe,Starehe,Nairobi,Mariguini 1 Community Health Unit,702163,42902
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Classic Community Health Unit,702162,43282
Fully-functional,Uthiru Muthua Dispensary,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Kagondu Community Health Unit,702160,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,New Kasabuni Community Health Unit,702159,43282
Fully-functional,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Kasabuni Baptist Community Health Unit,702158,43282
Fully-functional,Railway Training Institute Dispensary South B,Nairobi South,Starehe,Starehe,Nairobi,Bakiri View Community Health Unit,702157,42309
Fully-functional,Uthiru Muthua Dispensary,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Muthua Community Health Unit,702156,43282
Closed,Babadogo Health Centre,Babandogo,Ruaraka,Ruaraka,Nairobi,Redeemed Community Health Unit,702155,43282
Fully-functional,Railway Training Institute Dispensary South B,Nairobi South,Starehe,Starehe,Nairobi,Hamaso Community Health Unit,702154,42309
Fully-functional,Chandaria Health Centre,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Gekara Community Health Unit,702153,43282
Fully-functional,Chandaria Health Centre,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Kamagiru Community Health Unit,702152,43282
Fully-functional,Chandaria Health Centre,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Unganika Community Health Unit,702151,43282
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,Area 5 Community Health Unit,702150,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Nigeria Community Health Unit,702149,42867
Fully-functional,Mathare Police Depot,Hospital,Mathare,Mathare,Nairobi,Gitathuru Community Health Unit,702148,42867
Fully-functional,Chandaria Health Centre,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Kagira Community Health Unit,702146,43282
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,Area 4 Community Health Unit,702145,43282
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,Power Village Community Health Unit,702144,43282
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,Daraja Gumba Community Health Unit,702143,43282
Fully-functional,Chandaria Health Centre,Uthiru/Ruthimitu,Dagoretti South,Dagoretti South,Nairobi,Gachui Community Health Unit,702142,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Kampala Dogo Community Health Unit,702141,42867
Fully-functional,Kariobangi Health Centre,Kariobangi North,Embakasi North,Embakasi North,Nairobi,Shoeshine Community Health Unit,702140,43282
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,Baraka Community Health Unit,702139,43282
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,Mandera Community Health Unit,702137,43282
Fully-functional,Kariobangi Health Centre,Kariobangi North,Embakasi North,Embakasi North,Nairobi,Darfur D Community Health Unit,702135,43282
Fully-functional,Kariobangi Health Centre,Kariobangi North,Embakasi North,Embakasi North,Nairobi,Kipanga C Community Health Unit,702134,43282
Fully-functional,Waithaka Health Centre,Waithaka,Dagoretti South,Dagoretti South,Nairobi,Kabiria Community Health Unit,702133,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,White Custle Community Health Unit,702132,42867
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Block De Community Health Unit,702131,42881
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,Matopeni Community Health Unit,702130,43282
Fully-functional,Kariobangi Health Centre,Kariobangi North,Embakasi North,Embakasi North,Nairobi,Jamii B Community Health Unit,702129,43282
Fully-functional,Waithaka Health Centre,Waithaka,Dagoretti South,Dagoretti South,Nairobi,Kwaharu Community Health Unit,702128,43282
Fully-functional,Waithaka Health Centre,Waithaka,Dagoretti South,Dagoretti South,Nairobi,Mariguini Community Health Unit,702127,43282
Fully-functional,Waithaka Health Centre,Waithaka,Dagoretti South,Dagoretti South,Nairobi,Nembu Community Health Unit,702125,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Central Community Health Unit,702124,42881
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,T Area Community Health Unit,702123,43282
Fully-functional,Biafra Lions Clinic,Eastleigh South,Kamukunji,Kamukunji,Nairobi,Mother Land Community Health Unit,702122,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Grogon Community Health Unit,702121,42881
Closed,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Kwa Mbao 5 Community Health Unit,702118,43282
Fully-functional,Waithaka Health Centre,Waithaka,Dagoretti South,Dagoretti South,Nairobi,Mukarara Community Health Unit,702117,43282
Fully-functional,Biafra Lions Clinic,Eastleigh South,Kamukunji,Kamukunji,Nairobi,Mlolongo Community Health Unit,702116,43282
Fully-functional,Mathare North Health Centre,Mathare North,Ruaraka,Ruaraka,Nairobi,St Mauras Community Health Unit,702115,43282
Fully-functional,Biafra Lions Clinic,Eastleigh South,Kamukunji,Kamukunji,Nairobi,Mugunda Community Health Unit,702114,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Thayu Community Health Unit,702113,42881
Closed,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Kwa Mbao 4 Community Health Unit,702112,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Rema Community Health Unit,702111,42881
Closed,Biafra Lions Clinic,Eastleigh South,Kamukunji,Kamukunji,Nairobi,Eastleigh South Community Health Unit,702110,40544
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Ngando Community Health Unit,702109,43282
Closed,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Kwa Mbao 3 Community Health Unit,702108,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Korogocho A Community Health Unit,702107,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Giwa Community Health Unit,702106,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Daco Community Health Unit,702105,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Lenarace Community Health Unit,702103,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Afya Jamii Community Health Unit,702102,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Nyayo Community Health Unit,702101,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Kwa Mbao 2 Community Health Unit,702100,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Jkl Community Health Unit,702099,42881
Fully-functional,Westlands Health Centre,Parklands/Highridge,Westlands,Westlands,Nairobi,Deep Sea B Community Health Unit,702098,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Ghetto Community Health Unit,702097,42881
Closed,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Block G E Community Health Unit,702096,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Highrige A Community Health Unit,702095,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Highridge B Community Health Unit,702094,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Gitathuru B Community Health Unit,702093,43282
Closed,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Block G D Community Health Unit,702092,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Block G C Community Health Unit,702091,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Block G B Community Health Unit,702090,43282
Closed,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Cannan 5 Community Health Unit,702089,43282
Fully-functional,Kangemi Health Centre,Kangemi,Westlands,Westlands,Nairobi,Dam Community Health Unit,702088,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Cannan 4 Community Health Unit,702087,43282
Fully-functional,Kangemi Health Centre,Kangemi,Westlands,Westlands,Nairobi,Kaptagat Community Health Unit,702086,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,Cannan 3 Community Health Unit,702085,43282
Fully-functional,Kangemi Health Centre,Kangemi,Westlands,Westlands,Nairobi,Seniours Community Health Unit,702084,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,House Development Department 5 Community Health Unit,702082,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,House Development Department 4 Community Health Unit,702081,43282
Fully-functional,Silanga (MSF Belgium) Dispensary,Nyayo Highrise,Kibra,Langata,Nairobi,Silanga A Community Health Unit,702080,43282
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Kisumu Ndogo B Community Health Unit,702079,43282
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Kisumu Ndogo A Community Health Unit,702078,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Mabatini 1 Community Health Unity,702077,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Kanji Community Health Unit,702076,43282
Fully-functional,Karanja Road Community Clinic,Makina,Kibra,Kibra,Nairobi,Kambi Muru A Community Health Unit,702075,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Pipeline Community Health Unit,702074,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Shantit Community Health Unit,702073,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Kwa Kaki Community Health Unit,702072,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Bondeni Community Health Unit,702071,43282
Fully-functional,Pumwani Majengo Dispensary,Pumwani,Kamukunji,Kamukunji,Nairobi,Kitui Community Health Unit,702070,43282
Fully-functional,Huruma Lions Dispensary,Ngei,Mathare,Mathare,Nairobi,Mworoto Community Health Unit,702069,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Satelite Community Health Unit,702068,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Gitathuru A Community Health Unit,702067,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Lower Grogon Community Health Unit,702066,43282
Closed,Pumwani Majengo Dispensary,Pumwani,Kamukunji,Kamukunji,Nairobi,Majengo Community Health Unit,702065,40725
Fully-functional,Githogoro Runda Baptist Clinic (Getrudes Nairobi),Karura,Westlands,Westlands,Nairobi,Rose Kabelles Community Health Unit,702064,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Upper Grogon Community Health Unit,702063,43282
Fully-functional,Riruta Health Centre,Kawangware,Dagoretti North,Dagoretti North,Nairobi,Rengo Community Health Unit,702062,43282
Fully-functional,Githogoro Runda Baptist Clinic (Getrudes Nairobi),Karura,Westlands,Westlands,Nairobi,Matopeni Community Health Unit,702061,43282
Fully-functional,Bahati Health Centre,Maringo/Hamza,Makadara,Makadara,Nairobi,Bahati Community Health Unit,702060,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Seldom A Community Health Unit,702059,43282
Fully-functional,Pangani Dispensary,Pangani,Starehe,Starehe,Nairobi,Kambi Moto Community Health Unit,702058,43282
Fully-functional,Kibera South Health Centre,Mugumo-ini,Langata,Langata,Nairobi,Kisumu Ndogo Community Health Unit,702057,43282
Fully-functional,Dandora I Health Centre,Dandora Area I,Embakasi North,Embakasi North,Nairobi,House Development Department 3 Community Health Unit,702056,43282
Fully-functional,Pumwani Majengo Dispensary,Pumwani,Kamukunji,Kamukunji,Nairobi,Baraka Community Health Unit,702055,43282
Fully-functional,Korogocho Health Centre,Korogocho,Ruaraka,Ruaraka,Nairobi,Ngomongo B Community Health Unit,702054,43282
