Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,Date_established
Fully-functional,Ebukanga Dispensary,West Bunyore,Emuhaya,Emuhaya,Vihiga,Mulunyenya Community Health Unit,703356,41400
Fully-functional,Esiarambatsi Health Centre,North East Bunyore,Emuhaya,Emuhaya,Vihiga,Ebusiloli Community Health Unit,703358,42052
Fully-functional,Essaba Dispensary,Central Bunyore,Emuhaya,Emuhaya,Vihiga,Essaba A Community Health Unit,703359,42430
Fully-functional,Ematsuli Dispensary,North East Bunyore,Emuhaya,Emuhaya,Vihiga,Emusutswi Community Health Unit,703360,42376
Fully-functional,Esirulo Dispensary,Central Bunyore,Emuhaya,Emuhaya,Vihiga,Esirulo Health Community Unit,703362,42552
semi-functional,Mandingo Dispensary,Kipini West,Garsen,Garsen,Tana River,Mandingo Community Health Unit,703376,42888
semi-functional,Idsowe Dispensary,Garsen South,Garsen,Garsen,Tana River,Danisa Community Health Unit,703377,43831
Fully-functional,Ebukoolo Dispensary,West Bunyore,Emuhaya,Emuhaya,Vihiga,Emukolla Community Health Unit,703363,41820
Fully-functional,Ebukoolo Dispensary,West Bunyore,Emuhaya,Emuhaya,Vihiga,Embali Community Health Unit,703364,42941
Fully-functional,Emusire Sub County Hospital,Central Bunyore,Emuhaya,Emuhaya,Vihiga,Essunza Community Health Unit,703365,42374
Fully-functional,Emusire Sub County Hospital,Central Bunyore,Emuhaya,Emuhaya,Vihiga,Essunza,703367,42374
semi-functional,Muhamarani Dispensary,Mkunumbi,Lamu West,Lamu West,Lamu,Muhamarani Community Unit,703336,41742
Fully-functional,Inyali Dispensary,North Maragoli,Sabatia,Sabatia,Vihiga,Kivagala community unit,703368,43572
Fully-functional,Inyali Dispensary,North Maragoli,Sabatia,Sabatia,Vihiga,Kivagala Community Unit,703369,43572
Fully-functional,Nadanya Dispensary,Lyaduywa/Izava,Sabatia,Sabatia,Vihiga,Viyalo Community Unit,703370,43558
Fully-functional,Munoywa Dispensary,Lyaduywa/Izava,Sabatia,Sabatia,Vihiga,Evojo comunity unit,703371,43558
Fully-functional,Munoywa Dispensary,Lyaduywa/Izava,Sabatia,Sabatia,Vihiga,Evojo,703372,43558
Fully-functional,Ogando Dispensary,Lambwe,Mbita,Mbita,Homa Bay,Ogongo B,703379,43833
semi-functional,Bargoni Nys Dispensary,Hindi,Lamu West,Lamu West,Lamu,Bargoni Community Unit,703335,43405
semi-functional,Jirwani Dispensary,Shamakhokho,Hamisi,Hamisi,Vihiga,Kalwani Community Unit,703374,43801
Fully-functional,Tigoi Health Centre,Jepkoyai,Hamisi,Hamisi,Vihiga,Tigoi community unit,703375,43801
semi-functional,Kathiranga Dispensary,Abothuguchi West,Central Imenti,Imenti Central,Meru,Kathiranga Community Unit,703322,43831
semi-functional,Mwanika dispensary,Abothuguchi West,Central Imenti,Imenti Central,Meru,Mwanika Community Unit,703323,43831
semi-functional,Katheri Health Centre,Abothuguchi West,Central Imenti,Imenti Central,Meru,Kinjo Community Unit,703324,43831
semi-functional,Gitauga Dispensary,Abothuguchi Central,Central Imenti,Imenti Central,Meru,Gitauga Community Unit,703325,43831
semi-functional,Kaguma Dispensary,Mwangathia,Central Imenti,Imenti Central,Meru,Kaguma Community Unit,703329,43831
semi-functional,Gatimbi Health Centre,Abothuguchi Central,Central Imenti,Imenti Central,Meru,Gatimbi Community Unit,703328,43831
semi-functional,Makandune Dispensary,Kiagu,Central Imenti,Imenti Central,Meru,Makandune Community Unit,703330,43831
semi-functional,Kiija Dispensary,Kiagu,Central Imenti,Imenti Central,Meru,Kiija Community Unit,703331,43831
semi-functional,Njuthine Dispensary,Mwangathia,Central Imenti,Imenti Central,Meru,Njuthine Community Unit,703333,43831
semi-functional,Igane Health Centre,Kiagu,Central Imenti,Imenti Central,Meru,Igane Community unit,703334,43831
semi-functional,Runywene dispensary,Mwangathia,Central Imenti,Imenti Central,Meru,Runywene community unit,703312,43831
