Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
14434,Eldoret Airport Dispensary,Eldoret Airport Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Uasin Gishu,Kapseret,Kapseret,Ngeria,Operational,No,No,No,No,,Yes,Yes,No
14445,Embulbul Catholic Dispensary,Embulbul Catholic Dispensary,None,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,2,0,2,Kajiado,Kajiado North,Kajiado North,Oloolua,Operational,No,No,No,No,,Yes,Yes,No
14448,Emotoroki Dispensary,Emotoroki Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kajiado,Kajiado Central,Kajiado Central,Matapato North,Operational,No,No,No,No,,Yes,Yes,No
14447,Emitik Dispensary,Emitik Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Kiptagich,Operational,No,No,No,No,,Yes,Yes,No
14449,Emsea Dispensary,Emsea Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Elgeyo Marakwet,Keiyo South,Keiyo South,Soy North,Operational,No,No,No,No,,Yes,Yes,No
14441,Emaroro Dispensary,Emaroro Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kajiado,Kajiado East,Kajiado East,Imaroro,Operational,No,No,No,No,,Yes,Yes,No
14454,Enaibor Ajijik Dispensary,Enaibor Ajijik Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Narok North,Narok North,Melili,Operational,No,No,No,No,,Yes,Yes,No
14457,Endoinyo Erinka Dispensary,Endoinyo Erinka Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Narok West,Narok West,Mara,Operational,No,No,No,No,,Yes,Yes,No
14462,Enkitoria Dispensary,Enkitoria Dispensary,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,4,0,4,Narok,Narok West,Narok West,Siana,Operational,No,No,No,No,,Yes,Yes,No
14460,Enkirgir Dispensary,Enkirgirri Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,No,No,No,No,,Yes,Yes,No
14471,Entontol Dispensary,Entontol Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,0,4,Narok,Narok North,Narok North,Melili,Operational,No,No,No,No,,Yes,Yes,No
14483,Ewaso Dispensary,Ewaso Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,1,5,Laikipia,Laikipia North,Laikipia North,Mugogodo West,Operational,Yes,No,Yes,No,,Yes,Yes,No
14473,Tdmp Tangulbei Dispensary,TDMP Tangulbei Dispensary,None,Level 2,Dispensary,DISPENSARY,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,0,0,Baringo,Tiaty,Tiaty East,Tangulbei/Korossi,Operational,No,No,No,No,,Yes,Yes,No
14498,Fitc Dispensary,FITC Dispensary,013418,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Nakuru Town East,Nakuru West,London,Operational,No,No,No,No,,Yes,Yes,No
14484,Ewaso Ngiro Dispensary,Ewaso Ngiro Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Narok North,Narok North,Narok Town,Operational,No,No,No,No,,Yes,Yes,No
