Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
25720,Itete Dispensary,Itete Dispensary,01245,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,8,3,11,Kakamega,Matungu,Matungu,Koyonzo,Operational,No,No,No,No,,Yes,Yes,No
None,Mukavakava,Mukavakava,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,1,Kakamega,Malava,Malava,Butali/Chegulo,Operational,No,No,No,No,,Yes,Yes,No
None,Nchurra Dispensary,Nchurra Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Narok South,Narok South,Melelo,Operational,No,No,No,No,,Yes,Yes,No
25716,Kitaor  Dispensary,Kitaor  Dispensary,26121,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Aldai,Aldai,Kemeloi-maraba,Operational,No,No,No,No,,Yes,Yes,No
25697,Emaira Dispensary,Emaira Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Kakamega,Butere,Butere,Marama West,Operational,No,No,No,No,,Yes,Yes,No
25693,Ntharawe Dispensary,Ntharawe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Embu,Mbeere South,Mbeere South,Kiambere,Operational,No,No,No,No,,Yes,Yes,No
25694,Shichinji Dispensary,Shichinji Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,4,1,5,Kakamega,Ikolomani,Ikolomani,Idakho North,Operational,No,No,No,No,,Yes,Yes,No
25692,Munasio Dispensary,Munasio Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kakamega,Shinyalu,Shinyalu,Isukha West,Operational,No,No,No,No,,Yes,Yes,No
25673,Kibotany Dispensary,Kibotany Dispensary,3655,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Baringo,Mogotio,Mogotio,Kisanana,Operational,No,No,No,No,,Yes,Yes,No
25679,Muye Wa Kaye,Muye Wa Kaye,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Magarini,Magarini,Adu,Operational,No,No,No,No,,Yes,Yes,No
25626,Mbudzi Community Health Centre,Mbudzi Community Health Centre,n/a,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Ganze,Ganze,Jaribuni,Operational,No,No,No,No,,Yes,Yes,No
None,Kichawa Health Center,Kichawa Health Center,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Homa Bay,Karachuonyo,Karachuonyo,Kanyaluo,Operational,No,No,No,No,,Yes,Yes,No
None,Ntalabany Dispensary,Ntalabany Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Laikipia,Laikipia North,Laikipia North,Mugogodo East,Operational,No,No,No,No,,Yes,Yes,No
25635,Gatuune Dispensary,Gatuune Dispensary,N/A,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Meru,Central Imenti,Imenti Central,Mwangathia,Operational,No,No,No,No,,Yes,Yes,No
25597,Bombangi Dispensary,Bombangi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,12,0,12,Nyamira,West Mugirango,Nyamira,Township,Operational,No,No,No,No,,Yes,Yes,No
25612,MIKINDUNI DISPENSARY,MIKINDUNI DISPENSARY,159639,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),2,0,2,Tana River,Galole,Galole,Mikinduni,Operational,No,No,No,No,,Yes,Yes,No
25596,Nyamanga Dispensary(Ndhiwa),Nyamanga Dispensary(Ndhiwa),,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Homa Bay,Ndhiwa,Ndhiwa,Kanyamwa Kosewe,Operational,No,No,No,No,,Yes,Yes,No
None,Kimoriot Dispensary,Kimoriot Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,3,2,5,Baringo,Baringo South,Marigat,Mochongoi,Operational,No,No,No,No,,Yes,Yes,No
25580,Tuwo Dipensary,Tuwo Dipensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,0,0,0,Baringo,Tiaty,Tiaty East,Loiyamorok,Operational,No,No,No,No,,Yes,Yes,No
25564,Munoru Dispensary,Munoru Dispensary,N/A,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nyandarua,Kipipiri,Kipipiri,Githioro,Operational,No,No,No,No,,Yes,Yes,No
25541,Deo Gratios dispensary,Deo Gratios dispensary,0,Level 2,Dispensary,DISPENSARY,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,0,Embu,Runyenjes,Runyenjes,Kagaari North,Operational,No,No,No,No,,Yes,Yes,No
25535,Dawder Dispensary,Dawder Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,15,0,15,Mandera,Mandera South,Mandera South,Elwak South,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
25587,Boi dispensary,Boi dispensary,None,Level 3,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Aldai,Aldai,Kobujoi,Operational,No,No,No,No,,Yes,Yes,No
None,Gitimaini dispensary,Gitimaini dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Nyeri,Mathira,Mathira East,Magutu,Operational,No,No,No,No,,Yes,Yes,No
25544,Sukelaquli Dispensary,Sukelaquli Dispensary,185353,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),2,0,2,Mandera,Mandera West,Mandera West,Takaba South,Operational,No,No,No,No,,Yes,Yes,No
25508,Nyapeta Dispensary,Nyapeta Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,3,0,3,Kakamega,Mumias West,Mumias West,Etenje,Operational,No,No,No,No,,Yes,Yes,No
25507,Musanda Dispensary,Musanda Dispensary,5737,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Clinical Officers Council,3,0,3,Kakamega,Mumias West,Mumias West,Musanda,Operational,No,No,No,No,,Yes,Yes,No
25509,Kisiru  Dispensary,Kisiru Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Vihiga,Vihiga,Vihiga,Lugaga-wamuluma,Operational,No,No,No,No,,Yes,Yes,No
25498,Ichinga Dispensary,Ichinga Dispensary,118184,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,3,0,3,Kakamega,Mumias West,Mumias West,Mumias North,Operational,No,No,No,No,,Yes,Yes,No
25519,Apilo Dispensary,Apilo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Other,2,0,2,Migori,Nyatike,Nyatike,Got Kachola,Operational,No,No,No,No,,Yes,Yes,No
25506,Emung'abo Dispensary,Emung'abo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,1,2,Kakamega,Khwisero,Khwisero,Kisa Central,Operational,No,No,No,No,,Yes,Yes,No
25523,Kiwegu Dispensary,Kiwegu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kwale,Lunga Lunga,Lunga Lunga,Vanga,Operational,No,No,No,No,,Yes,Yes,No
25532,Chilumani Dispensary,Chilumani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Kwale,Kinango,Kinango,Mwavumbo,Operational,No,No,No,No,,Yes,Yes,No
25500,Siritanyi Dispensary,Siritanyi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Bungoma,Kanduyi,Kanduyi,Musikoma,Operational,No,No,No,No,,Yes,Yes,No
25491,Eliang'oma Dispensary,Eliang'oma Dispensary,0,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,1,2,Vihiga,Luanda,Luanda,Emabungo,Operational,No,No,No,No,,Yes,Yes,No
25554,Saleti,Saleti Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Isiolo,Isiolo North,Merti,Cherab,Operational,Yes,No,No,No,,Yes,Yes,No
25416,Nationakor Dispensary,Nationakor Dispensary,None,Level 2,Dispensary,DISPENSARY,Non-Governmental Organizations,Non-Governmental Organizations,None,0,0,0,Turkana,Turkana West,Turkana West,Kakuma,Operational,No,No,No,No,,Yes,Yes,No
25411,Nalemsekon Dispensary,Nalemsekon Dispensary,005/KR,Level 2,Dispensary,DISPENSARY,Non-Governmental Organizations,Non-Governmental Organizations,Ministry of Health,0,0,0,Turkana,Turkana West,Turkana West,Kakuma,Operational,No,No,No,No,,Yes,Yes,No
25417,Naregae Dispensary,Naregae Dispensary,None,Level 2,Dispensary,DISPENSARY,Non-Governmental Organizations,Non-Governmental Organizations,None,0,0,0,Turkana,Turkana West,Turkana West,Kakuma,Operational,No,No,No,No,,Yes,Yes,No
25422,Hong Kong Dispensary,Hong Kong Dispensary,None,Level 2,Dispensary,DISPENSARY,Non-Governmental Organizations,Non-Governmental Organizations,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,0,Turkana,Turkana West,Turkana West,Kakuma,Operational,No,No,No,No,,Yes,Yes,No
25434,Kiambogo Dispensary Kieni west,Kiambogo Dispensary Kieni West,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Nyeri,Kieni,Kieni West,Mugunda,Operational,No,No,No,No,,Yes,Yes,No
25437,Thwake Dam Dispensary,Thwake Dam Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,0,Kitui,Kitui Central,Kitui Rural,Kanyangi,Operational,No,No,No,No,,Yes,Yes,No
25439,Kyaume Dispensary,Kyaume Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Machakos,Matungulu,Matungulu,Tala,Operational,No,Yes,Yes,No,,Yes,Yes,No
25359,Chindi Dispensary,Chindi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kwale,Lunga Lunga,Lunga Lunga,Mwereni,Operational,No,No,No,No,,Yes,Yes,No
25285,Givigoi Dispensary,Givigoi Dispensary,0,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Vihiga,Hamisi,Hamisi,Tambua,Operational,No,No,No,No,,Yes,Yes,No
25260,Langi Kodera DISPENSARY,Langi Kodera DISPENSARY,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Homa Bay,Ndhiwa,Ndhiwa,Kanyamwa Kologi,Operational,No,No,No,No,,Yes,Yes,No
None,Garasweyno Dispensary,Garasweyno Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Garissa,Fafi,Fafi,Bura,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
None,Warable Dispensary,Warable Dispensary,N/A,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Garissa,Fafi,Fafi,Nanighi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
25415,kosoiywa dispensary,kosoiywo dispensary,7018,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Nandi Hills,Nandi Hills,Nandi Hills,Operational,No,No,No,No,,Yes,Yes,No
25255,Mbaranga Dispensary,Mbaranga Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Meru,Tigania East,Tigania East,Karama,Operational,No,No,No,No,,Yes,Yes,No
25257,Deri dispensary,Deri dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kwale,Matuga,Matuga,Mkongani,Operational,No,No,No,No,,Yes,Yes,No
25340,Esirulo Dispensary,Esirulo Dispensary,0,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Vihiga,Emuhaya,Emuhaya,Central Bunyore,Operational,No,No,No,No,,Yes,Yes,No
25252,Mukonjo Dispensary,Mukonjo Dispensary,1467,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,0,0,0,Busia,Funyula,Samia,Namboboto-nambuku,Operational,No,No,No,No,,Yes,Yes,No
25369,Kavunyalalo Paziani Dispensary,Kavunyalalo Paziani Dispensary,n/a,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Malindi,Malindi,Kakuyuni,Operational,No,No,No,No,,Yes,Yes,No
25341,Ebukhaya Dispensary,Ebukhaya Dispensary,0,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Vihiga,Emuhaya,Emuhaya,Central Bunyore,Operational,No,No,No,No,,Yes,Yes,No
25286,Essaba Dispensary,Essaba Dispensary,0,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Vihiga,Emuhaya,Emuhaya,Central Bunyore,Operational,No,No,No,No,,Yes,Yes,No
25287,Gamei Dispensary,Gamei Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Vihiga,Hamisi,Hamisi,Gisambai,Operational,No,No,No,No,,Yes,Yes,No
25250,Enkoireroi  Dispensary,Enkoireroi  Dispensary,n/a,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Kajiado,Kajiado West,Kajiado West,Ewuaso Oo Nkidong'i,Operational,No,No,No,No,,Yes,Yes,No
25238,Migodomani Dispensary,Migodomani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Ganze,Ganze,Ganze,Operational,No,No,No,No,,Yes,Yes,No
25228,Abuoro Dispensary,Abuoro Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Homa Bay,Ndhiwa,Ndhiwa,Kanyamwa Kologi,Operational,No,No,No,No,,Yes,Yes,No
25231,Ele Dimtu Dispensary,Ele Dimtu Dispensary,17348,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Marsabit,Moyale,Moyale,Uran,Operational,No,No,No,No,,Yes,Yes,No
25233,Masan Dispensary,Masan Dispensary,25461,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Chesumei,Chesumei,Kosirai,Operational,No,No,No,No,,Yes,Yes,No
25212,Embu Children Clinic Tenri -makima,Embu Children  Tenri(Makima),None,Level 2,Dispensary,DISPENSARY,Private Practice - General Practitioner,Private Practice,None,0,0,0,Embu,Mbeere South,Mbeere South,Makima,Operational,No,Yes,Yes,No,,Yes,Yes,No
25201,KIBOTANY MEDICAL CENTRE,KIBOTANY MEDICAL CENTRE,014751,Level 2,Dispensary,DISPENSARY,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,0,Narok,Narok South,Narok South,Ololulung'a,Operational,No,Yes,Yes,No,,Yes,Yes,No
25199,ERIPOTO MEDICAL CENTER,ERIPOTO MEDICAL CENTER,016570,Level 2,Dispensary,DISPENSARY,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,0,Narok,Narok South,Narok South,Ololulung'a,Operational,No,Yes,Yes,No,,Yes,Yes,No
25182,Rae Kodialo Dispensary,Rae Kodialo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Migori,Uriri,Uriri,North Kanyamkago,Operational,No,No,No,No,,Yes,Yes,No
25168,Kaembeni Dispensary,Kaembeni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Ganze,Ganze,Sokoke,Operational,No,No,No,No,,Yes,Yes,No
25175,Koringo  Dispensary,Koringo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,0,Migori,Uriri,Uriri,West Kanyamkago,Operational,No,No,No,No,,Yes,Yes,No
25136,Getong'anya Dispensary,Getong'anya Dispensary,10123,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,1,3,Migori,Kuria West,Kuria West,Masaba,Operational,No,No,No,No,,Yes,Yes,No
25113,P.C.E.A.  Kinamba Dispensary,P.C.E.A. Naivasha East Parish Kinamba Dispensary,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Nakuru,Gilgil,Gilgil,Malewa West,Operational,No,Yes,Yes,No,,Yes,Yes,No
25099,Munyu Dispensary,Munyu Dispensary,0000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Naivasha,Naivasha,Naivasha East,Operational,No,No,No,No,,Yes,Yes,No
25083,Talon Dispensary,Talon Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,West Pokot,Sigor,Pokot Central,Sekerr,Operational,No,No,No,No,,Yes,Yes,No
25087,Mutuobare Dispensary,Mutuobare Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Embu,Mbeere South,Mbeere South,Kiambere,Operational,No,No,No,No,,Yes,Yes,No
25068,Manda Dispensary (Lamu),Manda Dispensary (Lamu),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Lamu,Lamu West,Lamu West,Shella,Operational,No,No,No,No,,Yes,Yes,No
25060,Tegat Dispensary (Kuresoi South),Tegat Dispensary (Kuresoi South),NA,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Keringet,Operational,No,No,No,No,,Yes,Yes,No
25061,Kapkores Dispensary,Kapkores Dispensary,NA,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Keringet,Operational,No,No,No,No,,Yes,Yes,No
25062,Chigamba Dispensary,Chigamba Dispensary,NA,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Kiptagich,Operational,No,No,No,No,,Yes,Yes,No
25063,Kiborowo Dispensary,Kiborowo Dispensary,NA,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Kiptagich,Operational,No,No,No,No,,Yes,Yes,No
25064,Kaplamboi Dispensary,Kaplamboi Dispensary,NA,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Amalo,Operational,No,No,No,No,,Yes,Yes,No
25065,Tinet Kapkoi Dispensary,Tinet Kapkoi Dispensary,NA,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Tinet,Operational,No,No,No,No,,Yes,Yes,No
25066,Sinendet Dispensary,Sinendet Dispensary,NA,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Kuresoi South,Kuresoi South,Amalo,Operational,No,No,No,No,,Yes,Yes,No
25053,Miguneni Dispensary,Miguneni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,0,Kwale,Kinango,Kinango,Kasemeni,Operational,No,No,No,No,,Yes,Yes,No
25052,ACC&S Chomo Community Dispensary,ACC&S Chomo Community Dispensary,016686,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Muranga,Gatanga,Gatanga,Gatanga,Operational,No,No,No,No,,Yes,Yes,No
25051,NOOLOROI DISPENSARY,Nooloroi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Isiolo,Isiolo North,Isiolo,Oldo/Nyiro,Operational,No,No,No,No,,Yes,Yes,No
25050,Ingobor Dispensary,Ingobor Dispensary,12314,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,1,1,2,Nakuru,Nakuru Town West,Nakuru West,Kapkures,Operational,No,No,No,No,,Yes,Yes,No
25058,Serima Dispensary,Serima Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,3,7,Marsabit,Laisamis,Laisamis,Loiyangalani,Operational,Yes,No,No,No,,Yes,Yes,No
25227,Mangoita Dispensary,Mangoita Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Bomet,Bomet East,Bomet East,Chemaner,Operational,No,No,No,No,,Yes,Yes,No
25037,Arus dispensary,Arus dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Rongai,Rongai,Solai,Operational,No,No,No,No,,Yes,Yes,No
25032,Otiot Dispensary,Otiot Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,West Pokot,Sigor,Pokot Central,Lomut,Operational,No,No,No,No,,Yes,Yes,No
25031,Takar Dispensary,Takar Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,West Pokot,Sigor,Pokot Central,Wei Wei,Operational,No,No,No,No,,Yes,Yes,No
25138,Menet Dispensary(Kipkelion),Menet Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Kericho,Kipkelion West,Kipkelion West,Kunyak,Operational,No,No,No,No,,Yes,Yes,No
25029,Surumben Dispensary,Surumben Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,West Pokot,Sigor,Pokot Central,Masool,Operational,No,No,No,No,,Yes,Yes,No
25027,Getembe Dispensary,Getembe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kisii,Kitutu Chache South,Kitutu Chache South,Kitutu Central,Operational,No,No,No,No,,Yes,Yes,No
25025,Ptokou Dispensary,Ptokou Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,West Pokot,Sigor,Pokot Central,Wei Wei,Operational,No,No,No,No,,Yes,Yes,No
24997,CHIGOMBERO,Chigombero Dispensary,N/A,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kwale,Lunga Lunga,Lunga Lunga,Pongwe/Kikokeni,Operational,No,No,No,No,,Yes,Yes,No
24994,muungano dispensary,Muungano Dispensary,n/a,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kwale,Matuga,Matuga,Tiwi,Operational,No,No,No,No,,Yes,Yes,No
24996,Koromey Dispensary,Koromey Dispensary,015913,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Pharmacy & Poisons Board,5,0,5,Mandera,Mandera East,Mandera East,Township,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
24987,MULUNDU DISPENSARY,MULUNDU DISPENSARY,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Vihiga,Hamisi,Hamisi,Muhudu,Operational,No,No,No,No,,Yes,Yes,No
24986,CHEPTULU DISPENSARY,CHEPTULU DISPENSARY,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Vihiga,Hamisi,Hamisi,Shiru,Operational,No,No,No,No,,Yes,Yes,No
24978,Lamaiywet Dispensary,Lamaiywet Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Uasin Gishu,Kapseret,Kapseret,Ngeria,Operational,No,No,No,No,,Yes,Yes,No
24977,Ngara Falls Dispensary,Ngara Falls Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,0,4,Uasin Gishu,Kapseret,Kapseret,Ngeria,Operational,No,No,No,No,,Yes,Yes,No
24973,Luthehe Dispensary,Luthehe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,Siaya,Ugenya,Ugenya,East Ugenya,Operational,No,No,No,No,,Yes,Yes,No
24963,Erusiai Dispensary,Erusiai Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Narok North,Narok North,Melili,Operational,No,No,No,No,,Yes,Yes,No
24944,Gitiri Dispensary,Gitiri Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Muranga,Kiharu,Kiharu,Mugoiri,Operational,No,No,Yes,No,,Yes,Yes,No
24937,ACC&S Kigumo Dispensary,ACC&S Kigumo Dispensary,004894,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Muranga,Kigumo,Kigumo,Kigumo,Operational,No,No,Yes,No,,Yes,Yes,No
24935,Ikulumbutuni Dispensary,AIC Ikulumbutuni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kitui,Kitui Rural,Kitui Rural,Kwavonza/Yatta,Operational,No,No,No,No,,Yes,Yes,No
24941,BULLA PESA DISPENSARY ISIOLO,Bulla Pesa Dispensary (Isiolo),0000000000000000,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Isiolo,Isiolo North,Isiolo,Bulla Pesa,Operational,No,No,No,No,,Yes,Yes,No
24942,LEBARSHERIK DISPENSARY ISIOLO,Lebarsherik Dispensary,38149,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Isiolo,Isiolo North,Isiolo,Oldo/Nyiro,Operational,No,No,Yes,No,,Yes,Yes,No
