run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
2,0,Step_2,3,287528.11,104.18.95.41,https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a192e13489a758d3/1783721230525/efd7538f1e290238ef5527849e5bb97de7e5cc6020e2267ff28de302e903f8f3/_k6JqFJHynSC8Kw,/cdn-cgi/challenge-platform/h/g/pat/a192e13489a758d3/1783721230525/efd7538f1e290238ef5527849e5bb97de7e5cc6020e2267ff28de302e903f8f3/_k6JqFJHynSC8Kw,,1,GET,challenges.cloudflare.com,C31E41B78BC9ADA59E2D0138B347CF40,401,Fetch,184.00,181.00,"4,690.00","4,690.00",1,1,1,,,text/plain,,826,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/,,,,script,High,High,1885,-1,100,-1,0,-1,-1,-1.00,-1.00,-1.00,,,,,,Cloudflare,4688,883,0,0,"4,874.00","4,690.00","4,871.00","4,871.00","4,874.00",3.00,"4,690.00","4,874.00",184.00,10,11,,,,,,,,,,,,,,,,
2,0,Step_2,3,287528.14,104.18.95.41,https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/ci/a192e13489a758d3/1783721230526/6Ipf4EnWvuzw2TR,/cdn-cgi/challenge-platform/h/g/ci/a192e13489a758d3/1783721230526/6Ipf4EnWvuzw2TR,,1,GET,challenges.cloudflare.com,0353FBF909FDD98632377DF6950B50A3,200,Image,180.00,178.00,"5,533.00","5,533.00",1555,1555,1555,,,image/png,,826,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/av0/rch/4b0gt/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto,0,78856,dr,script,Low,Low,2671,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,1555,0.00,Cloudflare,5531,920,0,0,"5,713.00","5,533.00","5,711.00","5,711.00","5,713.00",2.00,"5,533.00","5,713.00",180.00,11,12,,,,,non_blocking,,,,,,,,,,,
2,0,Step_2,3,287528.16,104.18.95.41,https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/fo/1109849240:1783717222:TNXY4k-0leOKGwlzvwe-60T2U8LQ3OaWL9s0EAoEvPw/a192e13489a758d3/F.sI8EpNMfUtrjwB7dwFKqZ66EeQPpUR9w1fIvjHUfQ-1783721229-1.2.1.1-lPkEFOB0sAQ7NekaHTRLGTurGMzTALyXezu3F5ajVbsjxWcccG8L6EgCBlM5lAKr,/cdn-cgi/challenge-platform/h/g/fo/1109849240:1783717222:TNXY4k-0leOKGwlzvwe-60T2U8LQ3OaWL9s0EAoEvPw/a192e13489a758d3/F.sI8EpNMfUtrjwB7dwFKqZ66EeQPpUR9w1fIvjHUfQ-1783721229-1.2.1.1-lPkEFOB0sAQ7NekaHTRLGTurGMzTALyXezu3F5ajVbsjxWcccG8L6EgCBlM5lAKr,,1,POST,challenges.cloudflare.com,0353FBF909FDD98632377DF6950B50A3,200,XHR,461.00,425.00,"6,252.00","6,252.00",39924,39924,114568,,,text/plain,br,826,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/av0/rch/4b0gt/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto,0,192854,SA,script,High,High,3790,0,100,100,0,100,-1,-1.00,-1.00,-1.00,40202,0,,,0.00,Cloudflare,6251,926,0,0,"6,713.00","6,252.00","6,677.00","6,677.00","6,713.00",36.00,"6,252.00","6,713.00",461.00,12,13,,,,,,,,,,,,,,,,
2,0,Step_3,3,287528.18,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/fo/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4,/cdn-cgi/challenge-platform/h/g/fo/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4,,1,POST,www.civiceducationkenya.com,C31E41B78BC9ADA59E2D0138B347CF40,200,XHR,"1,433.00",360.00,217.00,217.00,319915,319915,482048,,,text/plain,zstd,970,h3,2.00,4.00,7.00,7.00,7.00,217.00,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a192e1271d1393ce,2,69462,pN,script,High,High,5947,0,100,-1,0,100,-1,2.00,0.00,210.00,,,,,0.00,Cloudflare,0,953,1,1,"1,650.00",217.00,577.00,577.00,"1,650.00","1,073.00",2.00,"1,650.00","1,645.00",0,1,,,,,,,,,,,,,,,,
2,0,Step_3,3,287528.19,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/eb/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4/managed,/cdn-cgi/challenge-platform/h/g/eb/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4/managed,,1,POST,www.civiceducationkenya.com,C31E41B78BC9ADA59E2D0138B347CF40,200,XHR,221.00,221.00,218.00,218.00,2,2,2,,,text/html,,970,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a192e1271d1393ce,0,17757,A.<computed>,script,High,High,5503,-1,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,,Cloudflare,36,971,0,0,439.00,218.00,439.00,439.00,439.00,0.00,218.00,439.00,221.00,1,2,,,,,,,,,,,,,,,,
2,0,Step_3,3,287528.21,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/pat/a192e1271d1393ce/1783721272523/638df59d18c3fa21092efaa6237c32859b8a2bbb36993a535612360fa07c02b6/IXjh6LzXdM-foQU,/cdn-cgi/challenge-platform/h/g/pat/a192e1271d1393ce/1783721272523/638df59d18c3fa21092efaa6237c32859b8a2bbb36993a535612360fa07c02b6/IXjh6LzXdM-foQU,,1,GET,www.civiceducationkenya.com,,401,Fetch,207.00,206.00,"1,802.00","1,802.00",1,1,1,,,text/plain,,970,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/legislative-tracker,,,,script,High,High,3496,-1,100,-1,0,-1,-1,-1.00,-1.00,-1.00,,,,,,Cloudflare,1802,984,0,0,"2,009.00","1,802.00","2,008.00","2,008.00","2,009.00",1.00,"1,802.00","2,009.00",207.00,2,3,,,,,,,,,,,,,,,,
2,0,Step_3,3,287528.22,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/ci/a192e1271d1393ce/1783721272524/l9tXI1rAT2IhebT,/cdn-cgi/challenge-platform/h/g/ci/a192e1271d1393ce/1783721272524/l9tXI1rAT2IhebT,,1,GET,www.civiceducationkenya.com,C31E41B78BC9ADA59E2D0138B347CF40,200,Image,206.00,203.00,"1,946.00","1,946.00",1040,1040,1040,,,image/png,,970,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a192e1271d1393ce,2,139453,pv,script,Low,Low,4822,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,1040,0.00,Cloudflare,1945,994,0,0,"2,152.00","1,946.00","2,149.00","2,149.00","2,152.00",3.00,"1,946.00","2,152.00",206.00,3,4,,,,,non_blocking,,,,,,,,,,,
2,0,Step_3,3,287528.26,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/fo/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4,/cdn-cgi/challenge-platform/h/g/fo/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4,,1,POST,www.civiceducationkenya.com,C31E41B78BC9ADA59E2D0138B347CF40,200,XHR,743.00,544.00,"3,392.00","3,392.00",211111,211111,328992,,,text/plain,zstd,970,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a192e1271d1393ce,2,69462,pN,script,High,High,5950,0,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,0.00,Cloudflare,3391,1029,0,0,"4,135.00","3,392.00","3,936.00","3,936.00","4,135.00",199.00,"3,392.00","4,135.00",743.00,4,5,,,,,,,,,,,,,,,,
2,0,Step_3,3,287528.28,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/fo/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4,/cdn-cgi/challenge-platform/h/g/fo/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4,,1,POST,www.civiceducationkenya.com,C31E41B78BC9ADA59E2D0138B347CF40,400,XHR,489.00,488.00,"5,059.00","5,059.00",121,121,121,,"private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0",application/json,,970,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a192e1271d1393ce,2,69462,pN,script,High,High,5950,-1,100,-1,0,-1,-1,-1.00,-1.00,-1.00,,,,,,Cloudflare,5058,1059,0,0,"5,548.00","5,059.00","5,547.00","5,547.00","5,548.00",1.00,"5,059.00","5,548.00",489.00,5,6,,,,,,,,,,,,,,,,
2,0,Step_3,3,287528.29,172.67.195.87,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/eb/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4/managed,/cdn-cgi/challenge-platform/h/g/eb/1005415413:1783717220:-2RMY1R3ma8wrxXtjSjRy-cTPmPG8ip_JcAmMoepQ_w/a192e1271d1393ce/N9q52dQmHGfaIXqUx.4F3jDaVArEA9yYXAf2mWMwl1I-1783721227-1.2.1.1-5knhubqNd1vCnHWS.3W7moV1xc6lJCaN_bPucfLqeXhuVMGwCWcGyovbASu1BNg4/managed,,1,POST,www.civiceducationkenya.com,C31E41B78BC9ADA59E2D0138B347CF40,200,XHR,207.00,206.00,"5,581.00","5,581.00",2,2,2,,,text/html,,970,h3,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://www.civiceducationkenya.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a192e1271d1393ce,0,17757,A.<computed>,script,High,High,5503,-1,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,,Cloudflare,5580,1066,0,0,"5,788.00","5,581.00","5,787.00","5,787.00","5,788.00",1.00,"5,581.00","5,788.00",207.00,6,7,,,,,,,,,,,,,,,,
